Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Luminosity,AB_Mag,Weight,Distance (pc)
spoc-s02,SPOC,2760710,227.01,PC,356.5277,-16.6912,356.5273567,-16.69146353,14.277,0.059,1364.102069,0.002061,5.3,,1.51,,30400,,[2],The second event is not real. single transit (no period).,5.20628,0.340459,1,0.128,0.019,2.432614,,187.3235245,2808,80,0.290998187,11.973635,3.51E+30,14.71925768,0.3,100
qlp-s08-ffi,QLP,141227133,617.01,PC,129.315412,-47.383549,129.315369,-47.38348965,10.19,0.016,1518.70004,0.00114,2.42232,0.00022,2.873,0.212,5696.52,10.2883,[8],TFOP NEB; centroid offset,,,1,,,,,1044,2838,162,197.858,63,0,10.63225768,0.3,100
spoc-s01-s36-b02-L1,SPOC,44898913,4306.01,PC,64.12984082,-28.31470963,64.13090961,-28.31579089,14.2683,0.0075572,1413.191882,0.001072491,2.729904885,1.20E-05,0.825728847,0.3995385,7427.724966,1003.2614,"[4, 5, 31, 32]",potential stellar variability; low SNR,5.15917,0.0427824,1,0.155497998,0.00468671,1.351360634,0.77290535,362.1910146,2887,157,4.06697675,8.324998,5.79E+30,14.71055768,0.3,100
spoc-s01-s36-b02-L1,SPOC,62301521,4341.01,PC,291.5358263,-43.18246012,291.5348943,-43.18718779,13.7827,0.00766299,1661.048552,0.009240395,18.40433341,0.012458659,7.879330953,0.83414465,9135.211016,1085.6766,"[13, 27]",even transit looks better than odd; low SNR,5.22041,0.0557763,1,0.133376002,0.00396582,1.283443274,0.16381204,182.7961243,2891,157,0.263869343,7.571882,4.29E+30,14.22495768,0.3,100
spoc-s01-s46-b0A,SPOC,434105094,4506.01,PC,354.4097,-12.8412,354.4106252,-12.84252965,13.427,0.059,1357.517521,0.000670703,5.410714562,9.60E-06,0.643939741,0.19262587,23563.39838,2715.4675,"[2, 29, 42]",v-shaped; low SNR,5.14513,0.477512,1,0.185012996,0.00588037,2.890286585,0.62937737,299.4471278,2938,93,1.900210043,8.9943695,8.80E+30,13.86925768,0.3,100
spoc-s01-s36-b0A-CPKP,SPOC,181804752,736.01,CP,165.6915,-16.4062,165.6904843,-16.4064445,13.508,0.059,2285.014805,0.001133525,4.989903154,7.78E-06,1.101834268,0.11890712,17472.88846,807.272,"[9, 36]",LP 791-18 c / TOI 736.01,5.14315,0.410207,1,0.171430007,0.00518929,2.283532257,0.22025356,312.0573896,2940,67,2.241087878,20.562578,7.57E+30,13.95025768,0.3,100
spoc-s01-s36-b0A-CPKP,SPOC,181804752,736.02,CP,165.6915,-16.4062,165.6904843,-16.4064445,13.508,0.059,1543.55772,0.000734085,0.947995059,1.45E-05,0.581069831,0.2512231,4275.063323,564.387,"[9, 36]",LP 791-18 b,5.14315,0.410207,2,0.171430007,0.00518929,1.20107306,0.45076677,542.8291387,2940,67,20.51982301,9.884826,7.57E+30,13.95025768,0.3,100
spoc-s01-s36-b0A-PC,UNKNOWN,244161191,278.01,PC,4.8831,-5.9113,4.883561931,-5.911561425,13.099,0.059,1381.775526,0.000313345,0.298730996,5.82E-06,0.621620457,0.105019316,6605.102931,448.7647,"[3, 30]",likely SV,5.13527,0.496238,1,0.300639004,0.00921362,2.526862188,0.42984232,944.8228634,2955,95,188.331332,15.121655,2.38E+31,13.54125768,0.3,100
spoc-s14-b02,SPOC,274762761,1256.01,PC,301.3475332,38.23080798,301.3463633,38.22832534,13.5608,0.00762882,1683.947476,0.004218996,1.033244114,0.000323808,3.801783635,0.3347664,26111.5082,1959.5728,"[14, 15]",TFOP FP,5.15741,0.0425173,1,0.156193,0.00469252,4.087988019,8.41243,516.1833775,2972,157,16.77787914,8.785042,6.56E+30,14.00305768,0.3,100
spoc-s18-b02,SPOC,51024887,1632.01,PC,42.15414606,62.18970895,42.15518838,62.18925968,14.9885,0.010916,1797.344998,0.004051263,8.249187145,0.003199519,4.980784657,0.34420857,117724.0283,11101.498,[18],Check neighbors,5.13581,0.0381304,1,0.165066,0.0050239,8.047698365,35.753082,264.4172054,2990,158,1.155260289,16.019594,7.51E+30,15.43075768,0.3,100
